player_id,player_name,yellow_card,second_yellow_card,red_card,total_yellow,total_red,mins_played,redsize
10000,des walker,7,1,1,8,2,23326,3
10003,wes morgan,12,2,1,14,3,14301,4
10007,alan moore,4,0,1,4,1,1671,2
10008,andy reid,12,0,0,12,0,7536,1
10009,eoin jess,0,0,0,0,0,4156,1
10011,marlon harewood,18,0,0,18,0,6915,1
10017,keith o'neill,12,0,0,12,0,2895,1
10022,muhamed konjic,3,0,0,3,0,1108,1
10027,julian joachim,1,0,0,1,0,9976,1
10028,barry scott quinn,7,0,0,7,0,3191,1
10032,gary mcallister,15,0,1,15,1,27195,2
10034,richard shaw,16,1,0,17,1,22177,2
10035,youssef safri,4,0,0,4,0,1082,1
10045,gavin ward,1,0,0,1,0,1408,1
10049,dean gordon,13,0,0,13,0,12439,1
100507,juan carlos paredes,1,0,0,1,0,766,1
10054,danny livesey,0,0,0,0,0,75,1
101045,ruud gullit,3,0,0,3,0,3598,1
101046,wim jonk,8,0,0,8,0,5928,1
101091,tomas brolin,6,0,0,6,0,2575,1
101092,jan eriksson,1,0,0,1,0,90,1
101095,klas ingesson,2,0,0,2,0,1160,1
101098,anders limpar,13,0,0,13,0,6357,1
101101,roland nilsson,4,0,0,4,0,11272,1
101115,rémi garde,7,0,0,7,0,1642,1
101118,joel robles,3,0,0,3,0,4456,1
101123,andy goram,0,0,0,0,0,123,1
101124,richard gough,6,1,0,7,1,3823,2
101129,gordon durie,3,0,0,3,0,2240,1
101130,brian mcclair,4,0,0,4,0,10366,1
101134,kevin gallacher,13,0,0,13,0,15130,1
101213,pedro obiang,12,0,0,12,0,5528,1
101300,torben piechnik,2,0,0,2,0,1388,1
101316,keith curle,17,0,0,17,0,11640,1
101317,stuart pearce,37,1,1,38,2,17701,3
101318,david platt,12,0,0,12,0,6247,1
101320,chris woods,0,0,0,0,0,6181,1
101322,nigel clough,8,0,0,8,0,8782,1
101323,tony daley,0,0,0,0,0,2689,1
101324,tony dorigo,18,0,0,18,0,14633,1
101325,carlton palmer,56,3,2,59,5,22856,6
101326,andy sinton,14,0,0,14,0,13181,1
101327,alan smith,0,0,0,0,0,5721,1
101329,neil webb,0,0,0,0,0,835,1
101381,paul parker,4,0,1,4,1,7228,2
101382,bryan robson,2,0,0,2,0,1828,1
101385,chris waddle,2,0,0,2,0,9089,1
101386,mark wright,18,0,0,18,0,11836,1
101387,steve mcmahon,12,0,0,12,0,5753,1
101390,steve hodge,6,0,0,6,0,2890,1
101500,matej vydra,1,0,0,1,0,2666,1
101682,scott malone,3,0,0,3,0,1113,1
101751,marc degryse,0,0,0,0,0,2665,1
102005,john harkes,3,0,0,3,0,2913,1
102009,juergen sommer,1,0,0,1,0,2970,1
102014,roy wegerle,3,0,0,3,0,5331,1
102017,jorginho,18,0,0,18,0,6985,1
102020,ilie dumitrescu,1,0,0,1,0,1926,1
102023,dan petrescu,28,0,0,28,0,15973,1
102030,peter beardsley,14,0,0,14,0,15742,1
102132,nicklas helenius,0,0,0,0,0,50,1
102150,faustino asprilla,3,0,0,3,0,3174,1
102258,matthew lowton,39,0,0,39,0,16743,1
102315,efan ekoku,18,0,0,18,0,11340,1
102331,boncho genchev,2,0,0,2,0,3769,1
102382,michael hefele,1,0,0,1,0,31,1
10242,kevin pressman,2,0,1,2,1,18410,2
102427,sebastián coates,6,0,0,6,0,2769,1
102473,nicola berti,6,0,0,6,0,1734,1
102485,pierluigi casiraghi,2,0,0,2,0,724,1
102488,ray houghton,3,0,0,3,0,8467,1
102491,eddie mcgoldrick,8,0,0,8,0,6645,1
102492,paul mcgrath,13,0,0,13,0,14273,1
102493,kevin moran,4,0,0,4,0,4523,1
102495,terry phelan,20,1,0,21,1,12143,2
102496,john sheridan,14,0,0,14,0,9020,1
102498,andy townsend,39,2,1,41,3,18491,4
102499,david kelly,5,0,0,5,0,2016,1
102501,ronnie whelan,4,0,0,4,0,3540,1
102503,lars bohinen,25,0,0,25,0,11322,1
102505,jostein flo,3,0,0,3,0,2895,1
102506,gunnar halle,19,1,0,20,1,15651,2
102509,roger nilsen,5,0,0,5,0,3182,1
10251,barry ferguson,15,1,0,16,1,9580,2
102510,stig inge björnebye,19,0,0,19,0,13263,1
10259,tony warner,1,0,0,1,0,1756,1
102590,branco,1,0,0,1,0,597,1
102617,pontus kamark,2,0,0,2,0,5310,1
102753,stéphane guivarc'h,0,0,0,0,0,224,1
102755,jes högh,0,0,0,0,0,547,1
103230,hámilton ricard,19,0,0,19,0,7344,1
103427,chris smalling,18,1,0,19,1,17112,2
103464,philemon masinga,2,0,0,2,0,1730,1
103565,wahbi khazri,9,0,0,9,0,1914,1
103641,colin calderwood,24,2,1,26,3,15590,4
103642,colin hendry,35,0,0,35,0,19028,1
103643,darren jackson,0,0,0,0,0,58,1
103653,stale solbakken,1,0,0,1,0,401,1
103679,roberto di matteo,24,0,0,24,0,9602,1
103731,ramon vega,13,0,2,13,2,4855,3
10375,shaun macdonald,0,0,0,0,0,28,1
10378,nicky summerbee,12,1,0,13,1,12113,2
10380,jason gavin,6,0,0,6,0,1997,1
